id,name,price,rating_average,category,solds,cluster
91,Điện Thoại Cho Người Già Masstel Fami 12 4G-hỗ trợ 4g-chữ to dành cho người già(Hàng Chính Hãng),630000,1,Điện thoại phổ thông,1,29
92,Máy đọc thẻ flashcard Tiếng Anh 224 từ vựng không sóng điện từ,149000,1,Máy đọc sách,1,34
93,Điện thoại bàn Panasonic KX-TS580 hàng chính hãng,880000,1,Điện thoại bàn,1,122
94,"Điện Thoại Cho Người Già Masstel Fami 12 4G - Viền Kim Loại, Ăng Ten FM Không Dây - Hàng Chính Hãng",589000,1,Điện thoại phổ thông,1,29
95,Điện Thoại Để Bàn Panasonic KX-TS500MX - Hàng Chính Hãng,380000,1,Điện thoại bàn,1,122
96,Điện thoại Realme C11 2021 (4GB/64GB) - Hàng chính hãng,3790000,1,Điện thoại Smartphone,1,3
97,Điện thoại bàn có dây Panasonic KX-TS560MX - Hàng chính hãng,730000,1,Điện thoại bàn,1,122
98,Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,391020,1,Điện Thoại - Máy Tính Bảng,1,148
99,Điện thoại để bàn tân cổ điển chuông thanh bàn phím quay mã DT10 dùng sim di động hoặc dùng cáp nghe gọi âm thanh rõ ràng và để trang trí (điện thoại bàn tân cổ điển),2320000,1,Điện Thoại - Máy Tính Bảng,1,148
100,Điện thoại Panasonic KX-TS520MX -Hàng chính hãng,459000,1,Điện thoại bàn,1,122
101,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,620000,1,Điện thoại bàn,1,122
102,Điện thoại bàn Ktel 303 hàng chính hãng,400000,1,Điện thoại bàn,1,122
103,Máy đọc thẻ flashcard tiếng anh 224 từ,120000,1,Máy đọc sách,1,34
104,Điện Thoại Di Động Forme D666 4G - Hàng Chính Hãng,650000,1,Điện thoại phổ thông,1,29
105,Điện thoại Oppo A57 (4GB/64GB) - Hàng chính hãng,4632000,1,Điện Thoại - Máy Tính Bảng,1,22
106,Điện thoại Samsung Galaxy A04 (3GB / 32GB) - Hàng chính hãng - Mới 100% Nguyên Seal - Pin Khủng 5000 mAh - Bảo Hành 12 Tháng,2400000,1,Điện Thoại - Máy Tính Bảng,1,148
107,"Điện thoại Masstel Lux 20 4G dành cho người lớn tuổi - Hàng chính hãng, Nguyên Seal",790000,1,Điện thoại phổ thông,1,29
108,Điện thoại Samsung Galaxy A04s (4GB/64BG) - Hàng chính hãng,3990000,1,Điện thoại Smartphone,1,125
109,Điện thoại Masstel IZI11 4G - Hàng Chính Hãng,468000,1,Điện thoại phổ thông,1,29
110,Máy Tính Bảng Samsung Galaxy Tab A8 - Hàng Chính Hãng,5856000,1,Máy tính bảng,1,17
111,Điện thoại Masstel izi 56 4G (pin trâu-loa chữ to rõ) - Hàng Chính Hãng,687000,1,Điện thoại phổ thông,1,29
112,Điện thoại di động Forme Q8 (4G) - Hàng chính hãng,599000,1,Điện thoại phổ thông,1,29
113,Điện thoại Samsung Galaxy A24 (6GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,6084000,1,Điện thoại Smartphone,1,121
114,Điện Thoại Samsung A14 4GB/128GB - Hàng Chính Hãng,3349000,1,Điện thoại Smartphone,1,144
115,Máy Tính Bảng Samsung Galaxy Tab A8 4GB/64GB - Hàng Chính Hãng,5856000,1,Máy tính bảng,1,17
116,"Điện thoại Masstel Izi 56 4G (LTE) Gọi HD Call ,Pin khủng ,loa lớn - Hàng Chính Hãng",569000,1,Điện thoại phổ thông,1,29
117,Điện thoại Samsung Galaxy A04e (3GB/32GB) - Hàng chính hãng,2325000,1,Điện thoại Smartphone,1,55
118,Điện Thoại Samsung Galaxy A55 5G (8GB/128GB)- Hàng Chính Hãng,9250000,1,Điện thoại Smartphone,1,56
119,Điện thoại Tecno SPARK 20c (8+8)GB/128GB - MTK G36 | 5000 mAh | Sạc nhanh 18W | Hàng Chính Hãng,2490000,1,Điện thoại Smartphone,1,80
120,Điện Thoại Xiaomi POCO C65 6GB/128GB - Hàng Chính Hãng,2899000,1,Điện thoại Smartphone,1,101
